Id,Course,Topic,Original Problem,Codex Input,Solution,Codex Code,Codex Code Explanation,Output Evaluation,Solution Type,Nearest Questions,GPT-3 Response,GPT-3 Evaluation
13,MATH,Intermediate Algebra,Two reals a and b are such that a+b=7 and a^3+b^3=91. Compute ab.,Two reals a and b are such that a+b=7 and a^3+b^3=91. Compute ab.,12,"def main():
    for a in range(1, 8):
        b = 7 - a
        if a**3 + b**3 == 91:
            print(a * b)

if __name__ == '__main__':
    main()","1. We know that a + b = 7, so we can iterate through all possible values of a,
   and then compute b = 7 - a.
2. We know that a^3 + b^3 = 91, so we can check if a^3 + b^3 = 91.
3. If a^3 + b^3 = 91, then we have found the correct values of a and b, so we
   can compute a * b.",Correct,Automatic Zero-shot,"[12, 2, 8, 7, 6, 11, 15, 5, 1, 9, 3, 14, 4, 10]",ab=21,Incorrect
14,MATH,Intermediate Algebra,"A sequence consists of 2010 terms.  Each term after the first is 1 larger than the previous term.  The sum of the 2010 terms is 5307.  When every second term is added up, starting with the first term and ending with the second last term, what is the sum?","Declare variable i, n. sum_{i=0}^{2009} n + i = 5307. Sum().doit(), then solve. Using Sympy, find n and store in variable a. Cast a to a float.

Using a for loop, find the sum of a+i from i=0 until 2009 inclusive incrementing by 2.",2151,"i = Symbol('i')
n = Symbol('n')

a = solve(Sum(n+i, (i, 0, 2009)).doit() - 5307, n)[0]
a = float(a)

b = 0
for i in range(0, 2010, 2):
    b += a + i

print(b)","1. We are using the Sum function to sum up the series of numbers from 0 to 2009.
2. We are using the doit() function to evaluate the sum.
3. We are using the solve() function to solve the equation for n.
4. We are converting the solution to a float.
5. We are using a for loop to sum up the series of numbers from 0 to 2009, skipping every other number.
6. We are printing the result.",Correct,Manual,"[5, 11, 4, 3, 6, 8, 12, 1, 13, 7, 10, 2, 15, 9]",The sum of the terms when every second term is added up is 2654.,Incorrect
15,MATH,Intermediate Algebra,"If z^2 - 8z + 37 = 0, how many possible values are there for |z|?","Write a program to solve: z^2 - 8z + 37 = 0. Then, determine how many possible solutions there are for |z|.",1,"import cmath

a = 1
b = -8
c = 37

d = (b**2) - (4*a*c)

sol1 = (-b-cmath.sqrt(d))/(2*a)
sol2 = (-b+cmath.sqrt(d))/(2*a)

print('The solution are {0} and {1}'.format(sol1,sol2))

# |z| = sqrt(x^2 + y^2)

print('|z| = {0}'.format(abs(sol1)))
print('|z| = {0}'.format(abs(sol2)))","1. We import the cmath module to use the sqrt() function.
2. We define the variables a, b, and c.
3. We calculate the discriminant, d.
4. We calculate the two solutions, sol1 and sol2.
5. We print the solutions.
6. We calculate the absolute value of the solutions.
7. We print the absolute value of the solutions.",Correct,Manual,"[2, 12, 8, 13, 7, 5, 11, 6, 1, 9, 3, 4, 14, 10]",There are two possible values for |z|.,Incorrect
1,MATH,Precalculus,"If ||a|| = 3 and ||b|| = 6, then find (a + b) * (a - b).","If ||a|| = 3 and ||b|| = 6, write a program that finds (a + b) * (a - b).
",-27,"import math

def main():
    a = 3
    b = 6
    print(""(a + b) * (a - b) ="", (a + b) * (a - b))

main()","1. We import the math module.
2. We define a function called main().
3. We define two variables, a and b.
4. We print the result of (a + b) * (a - b).
5. We call the main() function.",Correct,Automatic Few-shot (5),"[6, 12, 2, 4, 10, 7, 3, 11, 8, 9, 5, 15, 13, 14]",(a + b) * (a - b) = 9,Incorrect
2,MATH,Precalculus,"If tan(x) = 2, then find tan(x + pi/4).","If tan(x) = 2, then find tan(x + pi/4).
",-3,"import math

x = math.atan(2)
print(math.tan(x + math.pi/4))","1. math.atan(2) returns the arctangent of 2, which is 1.1071487177940904
2. math.tan(x + math.pi/4) returns the tangent of 1.1071487177940904 + 0.7853981633974483, which is 1.9999999999999998","Correct, but inaccurate explanation",Automatic Zero-shot,"[1, 11, 6, 3, 8, 10, 12, 4, 9, 15, 7, 14, 5, 13]","If tan(x) = 2, then tan(x + pi/4) = 2.",Incorrect
3,MATH,Precalculus,Evaluate (2-w)*(2-w^2)*...*(2-w^10) where w=e^(2pi*i/11).,Write a program that finds (2-w)*(2-w^2)*...*(2-w^10) where w=e^(2pi*i/11). This problem uses complex numbers.,2047,"import math

def main():
    w = math.e**(2*math.pi*1j/11)
    print(w)
    print(w**2)
    print(w**3)
    print(w**4)
    print(w**5)
    print(w**6)
    print(w**7)
    print(w**8)
    print(w**9)
    print(w**10)
    print(2-w)
    print((2-w)*(2-w**2)*(2-w**3)*(2-w**4)*(2-w**5)*(2-w**6)*(2-w**7)*(2-w**8)*(2-w**9)*(2-w**10))

main()","1. It's defining a variable w to be the 11th root of unity.
2. It's printing out the value of w, w^2, w^3, ..., w^10.
3. It's printing out the value of 2-w.
4. It's printing out the value of (2-w)(2-w^2)(2-w^3)...(2-w^10).",Correct,Automatic Zero-shot,"[10, 9, 14, 8, 1, 6, 12, 2, 11, 5, 7, 13, 15, 4]",2(1-w)(1-w^2)(1-w^3)(1-w^4)(1-w^5)(1-w^6)(1-w^7)(1-w^8)(1-w^9)(1-w^10),Incorrect
4,MATH,Precalculus,"If the determinant of A is 5, find the determinant of A^3.","If the determinant of A is 5, find the determinant of A^3.",125,"import numpy as np

def det_power(det, power):
    """"""
    If the determinant of A is 5, find the determinant of A^3.
    """"""
    return det ** power

def main():
    det = 5
    power = 3
    print(det_power(det, power))

if __name__ == ""__main__"":
    main()","1. We import the numpy library.
2. We define a function called det_power that takes two arguments: det and power.
3. We return the value of det to the power of power.
4. We define a function called main that doesn't take any arguments.
5. We print the value of det_power(det, power).
6. We call the main function.",Correct,Automatic Few-shot (1),"[1, 6, 2, 10, 12, 11, 8, 9, 3, 7, 5, 15, 14, 13]",The determinant of A^3 is 125.,Correct
5,MATH,Precalculus,"Let S be a region in the plane with area 10.  When we apply the matrix [2, 1; 7, -3] to S, we obtain S'. Find the area of S'.","Let S be a region in the plane with area 10.  When we apply the matrix [2, 1; 7, -3] to S, we obtain S'. Write a program that finds the area of S'.",130,"import numpy as np

S = 10

matrix = np.array([[2, 1], [7, -3]])

S_prime = np.linalg.det(matrix) * S

print(S_prime)","1. We create a matrix called matrix.
2. We calculate the determinant of matrix.
3. We multiply the determinant by S.
4. We print the result.",Correct up to negative sign,Automatic Zero-shot,"[9, 6, 10, 3, 12, 7, 13, 1, 15, 8, 11, 14, 2, 4]",The area of S' is 4.,Incorrect
6,MATH,Precalculus,"If the determinant of A is 2 and the determinant of B is 12, then find the determinant of A*B.","Given two determinants 2 and 12 from two matrices, find the determinant resulting from taking the product.",24,"import numpy as np

def det_product(det1, det2):
    """"""
    Given two determinants 2 and 12 from two matrices, find the determinant resulting from taking the product. 
    """"""
    return det1 * det2

def main():
    det1 = 2
    det2 = 12
    print(det_product(det1, det2))

if __name__ == ""__main__"":
    main()","1. We import the numpy library.
2. We define a function called det_product that takes two arguments, det_a and det_b.
3. We return the product of det_a and det_b.
4. We define a function called main that doesn't take any arguments.
5. We define det_a and det_b.
6. We print the result of det_product(det_a, det_b).
7. We call the main function.",Correct,Automatic Few-shot (6),"[1, 2, 12, 7, 3, 4, 5, 11, 10, 9, 8, 15, 13, 14]",The determinant of A*B is 24.,Correct
7,MATH,Precalculus,"If the six solutions of x^6=-64 are written in the form a+bi, where a and b are real, find the product of those solutions with a>0.","Write a program to find the six solutions of $x^6+64=0$ using sympy. Then, find the product of those solutions where the real component of the complex number is positive.",4,"import sympy

x = sympy.symbols('x')

solutions = sympy.solve(x**6 + 64, x)

print(solutions)

positive_solutions = [s for s in solutions if s.as_real_imag()[0] > 0]

print(positive_solutions)

product = 1
for s in positive_solutions:
    product *= s

print(product)","1. We create a variable x that is a symbol.
2. We solve the equation x**6 + 64 = 0 for x.
3. We print the solutions.
4. We create a list of the solutions that are positive.
5. We print the positive solutions.
6. We multiply the positive solutions together.
7. We print the product.",Correct,Manual,"[1, 6, 9, 12, 5, 10, 3, 13, 8, 15, 2, 11, 14, 4]",-4096,Incorrect
8,MATH,Precalculus,Simplify (tan^3(75) + cotan^3(75))/(tan(75) + cotan(75)). All angles are in degrees.,Write a program that simplifies (tan^3(75) + cotan^3(75))/(tan(75) + cotan(75)). All angles are in degrees.,13,"import math

def main():
    print(""This program simplifies (tan^3(75) + cotan^3(75))/(tan(75) + cotan(75))."")
    print(""All angles are in degrees."")
    print()

    tan = math.tan(math.radians(75))
    cotan = 1 / tan

    print(""tan(75) ="", tan)
    print(""cotan(75) ="", cotan)
    print()

    print(""(tan^3(75) + cotan^3(75))/(tan(75) + cotan(75)) ="", (tan**3 + cotan**3) / (tan + cotan))

main()","1. It prints out the problem.
2. It converts 75 degrees to radians and then calculates the tangent and cotangent of 75 degrees.
3. It prints out the tangent and cotangent of 75 degrees.
4. It calculates the problem and prints out the answer.",Correct,Automatic Zero-shot,"[11, 9, 14, 3, 2, 1, 10, 12, 13, 15, 6, 5, 7, 4]",(sin(75) + cos(75))/(sin(75) - cos(75)),Incorrect
9,MATH,Precalculus,"Compute the determinant of the matrix [cos 1, cos 2, cos 3; cos 4, cos 5, cos 6; cos 7, cos 8; cos 9]. All the angles are in radians.","Compute the determinant of the matrix [cos 1, cos 2, cos 3; cos 4, cos 5, cos 6; cos 7, cos 8; cos 9]. All the angles are in radians.",0,"import numpy as np

def main():
    a = np.array([[np.cos(1), np.cos(2), np.cos(3)], [np.cos(4), np.cos(5), np.cos(6)], [np.cos(7), np.cos(8), np.cos(9)]])
    print(np.linalg.det(a))

if __name__ == ""__main__"":
    main()","1. We're creating a 3x3 matrix with cosine values of 1, 2, 3, 4, 5, 6, 7, 8, 9.
2. We're printing the determinant of the matrix.",Correct,Automatic Zero-shot,"[8, 14, 3, 11, 10, 13, 5, 7, 12, 1, 6, 15, 2, 4]",The determinant of the matrix is -1.,Incorrect
10,MATH,Precalculus,"Find the area of the triangle with vertices (-1,4), (7,0), and (11,5).","Find the area of the triangle with vertices (-1,4), (7,0), and (11,5).",28,"def area_of_triangle(x1, y1, x2, y2, x3, y3):
    return abs((x1*(y2-y3) + x2*(y3-y1) + x3*(y1-y2))/2)

print(area_of_triangle(-1, 4, 7, 0, 11, 5))","1. We define a function called area_of_triangle that takes in 6 parameters.
2. We return the absolute value of the area of the triangle.
3. We call the function with the coordinates of the triangle.",Correct,Automatic Zero-shot,"[1, 12, 3, 9, 8, 11, 5, 2, 6, 7, 15, 4, 14, 13]",The area of the triangle is 36.,Incorrect
11,MATH,Precalculus,Simplify (1 + tan 20)(1 + tan 25). All angles are in degrees.,Write a program that simplifies (1 + tan 20)(1 + tan 25). All angles are in degrees.,2,"import math

def main():
    print(""This program simplifies (1 + tan 20)(1 + tan 25)."")
    print(""(1 + tan 20)(1 + tan 25) ="", (1 + math.tan(math.radians(20))) * (1 + math.tan(math.radians(25))))

main()","1. It's printing the string ""This program simplifies (1 + tan 20)(1 + tan 25).""
2. It's printing the string ""(1 + tan 20)(1 + tan 25) ="" and the result of the expression (1 + math.tan(math.radians(20))) * (1 + math.tan(math.radians(25)))
3. It's calling the main() function",Correct,Automatic Zero-shot,"[8, 2, 9, 3, 1, 14, 12, 10, 6, 5, 15, 4, 7, 13]","1 + tan 20)(1 + tan 25) = 1 + tan 20 + tan 25 + tan 20 tan 25

= 1 + tan 20 + tan 25 + tan 45

= 1 + tan 20 + tan 25 + 1

= 2 + tan 20 + tan 25",Incorrect
12,MATH,Precalculus,The projection of [0; 3; z] onto [-3; 5; -1] is 12/35 * [-3; 5; -1]. Find z.,"Write a function to compute x: 12/35 * [-3; 5; -1].
Then, write a function to compute the projection of a vector onto another.
Using sympy, search for values of z using the projection function to compute [0; 3; z] onto [-3; 5; -1] equals x.",3,"import sympy

def compute_x():
    x = 12/35 * sympy.Matrix([-3, 5, -1])
    return x

def compute_projection(v, u):
    return (v.dot(u) / u.dot(u)) * u

def compute_z(x):
    v = sympy.Matrix([0, 3, sympy.symbols('z')])
    u = sympy.Matrix([-3, 5, -1])
    return sympy.solve(compute_projection(v, u) - x, sympy.symbols('z'))

if __name__ == '__main__':
    x = compute_x()
    print(x)
    print(compute_z(x))","1. Compute x: 12/35 * [-3; 5; -1]
2. Compute the projection of a vector onto another
3. Search for values of z using the projection function to compute [0; 3; z] onto [-3; 5; -1] equals x.",Correct,Manual,"[1, 10, 6, 3, 8, 11, 2, 9, 5, 7, 4, 15, 13, 14]",z = -1,Incorrect
13,MATH,Precalculus,"Let l, m, and n be real numbers, and let A, B, C be points such that the midpoint of BC is (l,0,0), the midpoint of AC is (0,m,0), and the midpoint of AB is (0,0,n). Find (AB^2 + AC^2 + BC^2)/(l^2 + m^2 + n^2).","Let l, m, and n be real numbers, and let A, B, C be points such that the midpoint of BC is (l,0,0), the midpoint of AC is (0,m,0), and the midpoint of AB is (0,0,n). 
Find (AB^2 + AC^2 + BC^2)/(l^2 + m^2 + n^2).
Write a program.",8,"import numpy as np

def midpoint(A, B):
    return (A + B) / 2

def distance(A, B):
    return np.sqrt(np.sum((A - B)**2))

def main():
    A = np.array([0, 0, 0])
    B = np.array([1, 0, 0])
    C = np.array([0, 1, 0])
    l = midpoint(B, C)[0]
    m = midpoint(A, C)[1]
    n = midpoint(A, B)[2]
    AB = distance(A, B)
    AC = distance(A, C)
    BC = distance(B, C)
    print((AB**2 + AC**2 + BC**2) / (l**2 + m**2 + n**2))

if __name__ == '__main__':
    main()","1. We define a function called midpoint that takes two points and returns the midpoint of those two points.
2. We define a function called distance that takes two points and returns the distance between those two points.
3. We define the points A, B, and C.
4. We find the midpoints of BC, AC, and AB.
5. We find the distances AB, AC, and BC.
6. We print the result.",Correct,Automatic Zero-shot,"[9, 5, 8, 7, 15, 10, 1, 3, 14, 12, 6, 11, 2, 4]",(AB^2 + AC^2 + BC^2)/(l^2 + m^2 + n^2) = (A-B)^2 + (A-C)^2 + (B-C)^2)/(l^2 + m^2 + n^2) = 1/2,Incorrect
14,MATH,Precalculus,Evaluate log_(10)(tan 1)+log_(10)(tan 2)+log_(10)(tan 3)+...+log_(10)(tan 88)+log_(10)(tan 89). All angles are in degrees.,Evaluate log_(10)(tan 1)+log_(10)(tan 2)+log_(10)(tan 3)+...+log_(10)(tan 88)+log_(10)(tan 89). All angles are in degrees.,0,"import math

print(sum(math.log10(math.tan(math.radians(i))) for i in range(1, 90)))","1. math.log10(x) returns the base-10 logarithm of x.
2. math.tan(x) returns the tangent of x radians.
3. math.radians(x) converts x from degrees to radians.
4. math.tan(math.radians(x)) returns the tangent of x degrees.
5. math.log10(math.tan(math.radians(x))) returns the base-10 logarithm of the tangent of x degrees.
6. sum(math.log10(math.tan(math.radians(i))) for i in range(1, 90)) returns the sum of the base-10 logarithms of the tangents of the angles from 1 to 89 degrees.",Correct,Automatic Zero-shot,"[8, 9, 3, 11, 10, 13, 5, 2, 1, 7, 12, 15, 6, 4]","log_(10)(tan 1)+log_(10)(tan 2)+log_(10)(tan 3)+...+log_(10)(tan 88)+log_(10)(tan 89)

=log_(10)(tan 1×tan 2×tan 3×...×tan 88×tan 89)

=log_(10)(-1)

=-1",Incorrect
15,MATH,Precalculus,"In rectangle ABCD, P is a point on side BC such that BP = 16 and CP = 8. If tan <APD = 3, write a program that finds AB.",Write a program to solve the equation 576*x**2 = 9/10 * (256+x**2)*(64+x**2),16,"import sympy
x = sympy.symbols('x')
solutions = sympy.solve(576*x**2 - 9/10 * (256+x**2)*(64+x**2), x)
print(solutions)","1. sympy.symbols('x') creates a symbolic variable x.
2. sympy.solve(576*x**2 - 9/10 * (256+x**2)*(64+x**2), x) solves the equation
   for x.
3. print(solutions) prints the solutions.",Correct,Manual,"[8, 9, 10, 5, 1, 13, 2, 12, 7, 11, 6, 14, 3, 4]",AB = 24,Incorrect
